Ticket_ID,Created_Date,Resolved_Date,Category,Sub_Category,Priority,Status,Customer_Tier,Product,Issue_Description,Resolution_Time_Hours,First_Response_Time_Hours,Customer_Satisfaction,Agent_Name,Resolution_Type,Escalated,Follow_Up_Required,Related_Tickets
T10017,2024-01-18 10:15,2024-01-18 11:50,Account,Profile Update,Low,Resolved,Consumer,Email Platform,Cannot update email preferences,1.6,0.5,5,John Martinez,Profile Updated,No,No,0
T10018,2024-01-18 12:40,2024-01-18 16:20,Technical,Mobile App,Medium,Resolved,Small Business,Project Manager,Mobile app crashing on iOS,3.7,0.9,4,Marcus Brown,App Update Required,No,Yes,0
T10019,2024-01-18 14:15,2024-01-21 10:30,Technical,Data Migration,High,Resolved,Enterprise,Database Pro,Migration from old system failing,68.3,0.3,3,Sarah Kim,Migration Script,Yes,Yes,3
T10020,2024-01-18 16:05,2024-01-18 17:20,Billing,Refund Request,Medium,Resolved,Small Business,Collaboration Tools,Charged twice for subscription,1.3,0.7,5,David Lopez,Refund Processed,No,No,0
T10021,2024-01-19 09:20,2024-01-19 13:45,Technical,Email Delivery,High,Resolved,Small Business,Email Platform,Emails going to spam folder,4.4,0.5,4,Emily Chen,DNS Configuration,No,Yes,1
T10022,2024-01-19 11:05,2024-01-19 12:30,Feature Request,Reporting,Low,Resolved,Enterprise,CRM System,Custom report builder needed,1.4,0.4,4,John Martinez,Feature Noted,No,Yes,0
T10023,2024-01-19 13:40,2024-01-19 15:15,Account,Deactivation,Medium,Resolved,Consumer,Cloud Storage Pro,Want to cancel subscription,1.6,0.8,3,Marcus Brown,Account Deactivated,No,No,0
T10024,2024-01-19 15:25,2024-01-23 09:40,Technical,API Issues,Critical,Resolved,Enterprise,Analytics Suite,API rate limiting too aggressive,90.3,0.2,3,Sarah Kim,Rate Limit Adjusted,Yes,Yes,5
T10025,2024-01-19 16:50,2024-01-19 17:35,How-To,Setup,Low,Resolved,Small Business,Security Suite,Initial setup guidance needed,0.8,0.3,5,David Lopez,Setup Call Scheduled,No,No,0
T10026,2024-01-20 08:45,2024-01-20 14:20,Technical,Sync Issues,Medium,Resolved,Enterprise,Collaboration Tools,Files not syncing across devices,5.6,0.6,4,Emily Chen,Sync Reset,No,No,0
T10027,2024-01-20 10:30,2024-01-20 11:45,Billing,Trial Extension,Low,Resolved,Small Business,Project Manager,Request trial extension,1.3,0.5,5,John Martinez,Trial Extended,No,No,0
T10028,2024-01-20 12:15,2024-01-24 10:30,Technical,Performance,High,Resolved,Enterprise,Database Pro,Slow query performance,94.3,0.4,3,Marcus Brown,Index Optimization,Yes,Yes,2
T10029,2024-01-20 14:45,2024-01-20 16:10,Account,Team Management,Medium,Resolved,Small Business,Marketing Automation,Remove user from team,1.4,0.7,5,Sarah Kim,User Removed,No,No,0
T10030,2024-01-20 16:30,2024-01-20 17:50,Feature Request,Mobile Features,Low,Resolved,Consumer,Email Platform,Offline mode for mobile app,1.3,0.4,4,David Lopez,Feature Request Logged,No,Yes,0
